time,value
2019-09-18,6.412426128387451
2019-09-19,6.411436462402343
2019-09-20,6.404303715229034
2019-09-23,6.39718676328659
2019-09-24,6.392344577312469
2019-09-25,6.38376220703125
2019-09-26,6.366555135250091
2019-09-27,6.33869222164154
2019-09-30,6.305880093574523
2019-10-02,6.275192108154297
2019-10-03,6.251098062992096
2019-10-04,6.238280169963836
2019-10-08,6.234654974937438
2019-10-09,6.234156730175018
2019-10-10,6.231183815002441
2019-10-11,6.221592698097228
2019-10-14,6.211807742118835
2019-10-15,6.206499028205871
2019-10-16,6.205995602607727
2019-10-17,6.215060548782348
2019-10-18,6.238496754169463
2019-10-21,6.265051317214965
2019-10-22,6.281720213890075
2019-10-23,6.288339426517486
2019-10-24,6.289372813701629
2019-10-25,6.290444614887237
2019-10-28,6.288458080291748
2019-10-29,6.283357105255127
2019-10-30,6.2807272624969475
2019-10-31,6.283931798934936
2019-11-01,6.295189628601074
2019-11-04,6.307344501018524
2019-11-05,6.319149351119995
2019-11-06,6.325001420974731
2019-11-07,6.335632874965667
2019-11-08,6.364061889648437
2019-11-11,6.413290948867798
2019-11-12,6.449490206241607
2019-11-13,6.443941531181335
2019-11-14,6.39343722820282
2019-11-15,6.315598330497742
2019-11-18,6.234074974060058
2019-11-19,6.165973773002624
2019-11-20,6.122835607528686
2019-11-21,6.110080769062042
2019-11-22,6.123539316654205
2019-11-25,6.14906883239746
2019-11-26,6.18071918964386
2019-11-27,6.208659310340881
2019-11-28,6.2300645017623895
2019-11-29,6.24308937549591
2019-12-02,6.250661988258361
2019-12-03,6.256943435668945
2019-12-04,6.2612455511093135
2019-12-05,6.2638953590393065
2019-12-06,6.263040900230407
2019-12-09,6.2603909659385675
2019-12-10,6.261549830436706
2019-12-11,6.262097735404968
2019-12-12,6.26820998430252
2019-12-13,6.274038171768188
2019-12-16,6.282514145374297
2019-12-17,6.2882392215728755
2019-12-18,6.290287547111511
2019-12-19,6.286554312705993
2019-12-20,6.280665092468261
2019-12-23,6.271795754432678
2019-12-24,6.262409090995788
2019-12-27,6.254579458236694
2019-12-30,6.349266686439513
2019-12-31,6.420343708992004
2020-01-02,6.429823248386382
2020-01-03,6.396239554882049
2020-01-06,6.3463288998603815
2020-01-07,6.298651943206787
2020-01-08,6.268984961509704
2020-01-09,6.260865454673767
2020-01-10,6.26619021654129
2020-01-13,6.279652934074401
2020-01-14,6.296220741271973
2020-01-15,6.314486851692199
2020-01-16,6.326277928352355
2020-01-17,6.3353277111053465
2020-01-20,6.337938094139099
2020-01-21,6.336412906646728
2020-01-22,6.383167548179626
2020-01-23,6.396505420207977
2020-01-24,6.361886317729949
